,,PostalCodeID,PostalCode,CityName
,,8129,7,Aba
,,5241,11,Abádszalók
,,7678,2,Abaliget
,,3261,10,Abasár
,,3882,4,Abaújalpár
,,3882,4,Abaújkér
,,3815,4,Abaújlak
,,3881,4,Abaújszántó
,,3809,4,Abaújszolnok
,,3898,4,Abaújvár
,,9151,8,Abda
,,3753,4,Abod
,,2740,14,Abony
,,8256,19,Ábrahámhegy
,,2941,12,Ács
,,2683,14,Acsa
,,9746,18,Acsád
,,9168,8,Acsalag
,,2887,12,Ácsteszér
,,3292,10,Adács
,,8653,15,Ádánd
,,8561,19,Adásztevel
,,2457,7,Adony
,,8497,19,Adorjánháza
,,7841,2,Adorjás
,,7381,2,Ág
,,6076,1,Ágasegyháza
,,9423,8,Ágfalva
,,3759,4,Aggtelek
,,9441,8,Agyagosszergény
,,4524,16,Ajak
,,8400,19,Ajka
,,8451,19,Ajka
,,8447,19,Ajka
,,8448,19,Ajka
,,2862,12,Aka
,,6221,1,Akasztó
,,3779,4,Alacska
,,7011,7,Alap
,,5142,11,Alattyán
,,2730,14,Albertirsa
,,8087,7,Alcsútdoboz
,,3353,10,Aldebrő
,,6750,6,Algyő
,,8921,20,Alibánfa
,,7934,2,Almamellék
,,2931,12,Almásfüzitő
,,8935,20,Almásháza
,,5747,3,Almáskamarás
,,7932,2,Almáskeresztúr
,,4285,9,Álmosd
,,3985,4,Alsóberecki
,,7443,15,Alsóbogát
,,3717,4,Alsódobsza
,,3837,4,Alsógagy
,,7345,2,Alsómocsolád
,,7147,17,Alsónána
,,2351,14,Alsónémedi
,,8924,20,Alsónemesapáti
,,7148,17,Alsónyék
,,8226,19,Alsóörs
,,8394,20,Alsópáhok
,,2617,13,Alsópetény
,,8767,20,Alsórajk
,,3989,4,Alsóregmec
,,8973,20,Alsószenterzsébet
,,7012,7,Alsószentiván
,,7826,2,Alsószentmárton
,,9983,18,Alsószölnök
,,3726,4,Alsószuha
,,3735,4,Alsótelekes
,,3069,13,Alsótold
,,9842,18,Alsóújlak
,,3811,4,Alsóvadász
,,3571,4,Alsózsolca
,,6916,6,Ambrózfalva
,,4546,16,Anarcs
,,8675,15,Andocs
,,3399,10,Andornaktálya
,,9811,18,Andrásfa
,,2529,12,Annavölgy
,,8477,19,Apácatorna
,,4553,16,Apagy
,,2345,14,Apaj
,,7186,17,Aparhant
,,6931,6,Apátfalva
,,9982,18,Apátistvánfalva
,,7720,2,Apátvarasd
,,3032,10,Apc
,,2338,14,Áporka
,,6088,1,Apostag
,,4634,16,Aranyosapáti
,,7671,2,Aranyosgadány
,,3885,4,Arka
,,3663,4,Arló
,,3713,4,Arnót
,,3467,4,Ároktő
,,6623,6,Árpádhalom
,,9132,8,Árpás
,,4115,9,Ártánd
,,6783,6,Ásotthalom
,,9177,8,Ásványráró
,,3841,4,Aszaló
,,2881,12,Ászár
,,2170,14,Aszód
,,8241,19,Aszófő
,,7763,2,Áta
,,3371,10,Átány
,,3213,10,Atkár
,,7252,17,Attala
,,7757,2,Babarc
,,7814,2,Babarcszőlős
,,7584,15,Babócsa
,,2943,12,Bábolna
,,8658,15,Bábonymegyer
,,8983,20,Babosdöbréte
,,9351,8,Babót
,,6430,1,Bácsalmás
,,6453,1,Bácsbokod
,,6454,1,Bácsborsód
,,6511,1,Bácsszentgyörgy
,,6425,1,Bácsszőlős
,,8257,19,Badacsonytomaj
,,8258,19,Badacsonytomaj
,,8261,19,Badacsonytomaj
,,8263,19,Badacsonytördemic
,,2191,14,Bag
,,4286,9,Bagamér
,,8977,20,Baglad
,,8992,20,Bagod
,,9145,8,Bágyogszovát
,,2836,12,Baj
,,6500,1,Baja
,,6503,1,Baja
,,9944,18,Bajánsenye
,,2525,12,Bajna
,,2533,12,Bajót
,,8945,20,Bak
,,7585,15,Bakháza
,,7393,2,Bakóca
,,4164,9,Bakonszeg
,,7675,2,Bakonya
,,2885,12,Bakonybánk
,,8427,19,Bakonybél
,,8056,7,Bakonycsernye
,,8433,8,Bakonygyirót
,,8581,19,Bakonyjákó
,,8571,19,Bakonykoppány
,,8046,7,Bakonykúti
,,8422,19,Bakonynána
,,8418,19,Bakonyoszlop
,,9088,8,Bakonypéterd
,,8457,19,Bakonypölöske
,,8557,19,Bakonyság
,,2861,12,Bakonysárkány
,,8557,19,Bakonyszentiván
,,8430,19,Bakonyszentkirály
,,8431,8,Bakonyszentlászló
,,2884,12,Bakonyszombathely
,,8572,19,Bakonyszücs
,,8555,19,Bakonytamási
,,6768,6,Baks
,,7834,2,Baksa
,,3836,4,Baktakék
,,4561,16,Baktalórántháza
,,8946,20,Baktüttös
,,3780,4,Balajt
,,2660,13,Balassagyarmat
,,6764,6,Balástya
,,3347,10,Balaton
,,8243,19,Balatonakali
,,8172,19,Balatonakarattya
,,8220,19,Balatonalmádi
,,8649,15,Balatonberény
,,8630,15,Balatonboglár
,,8691,15,Balatonboglár
,,8272,19,Balatoncsicsó
,,8312,19,Balatonederics
,,8613,15,Balatonendréd
,,8646,15,Balatonfenyves
,,8164,19,Balatonfőkajár
,,8623,15,Balatonföldvár
,,8230,19,Balatonfüred
,,8175,19,Balatonfűzfő
,,8184,19,Balatonfűzfő
,,8313,20,Balatongyörök
,,8275,19,Balatonhenye
,,8174,19,Balatonkenese
,,8648,15,Balatonkeresztúr
,,8638,15,Balatonlelle
,,8753,20,Balatonmagyaród
,,8647,15,Balatonmáriafürdő
,,8637,15,Balatonőszöd
,,8255,19,Balatonrendes
,,8651,15,Balatonszabadi
,,8624,15,Balatonszárszó
,,8636,15,Balatonszemes
,,8710,15,Balatonszentgyörgy
,,8252,19,Balatonszepezd
,,8233,19,Balatonszőlős
,,8242,19,Balatonudvari
,,8712,15,Balatonújlak
,,8171,15,Balatonvilágos
,,8054,7,Balinka
,,8055,7,Balinka
,,4233,16,Balkány
,,6035,1,Ballószög
,,4060,9,Balmazújváros
,,9771,18,Balogunyom
,,6412,1,Balotaszállás
,,4468,16,Balsa
,,8614,15,Bálványos
,,2944,12,Bana
,,8443,19,Bánd
,,7914,2,Bánfa
,,3642,4,Bánhorváti
,,2653,13,Bánk
,,8891,20,Bánokszentgyörgy
,,3654,4,Bánréve
,,7711,2,Bár
,,4937,16,Barabás
,,2426,7,Baracs
,,2427,7,Baracs
,,2471,7,Baracska
,,4161,9,Báránd
,,7841,2,Baranyahídvég
,,7384,2,Baranyajenő
,,7383,2,Baranyaszentgyörgy
,,9169,8,Barbacs
,,7557,15,Barcs
,,7570,15,Barcs
,,7478,15,Bárdudvarnok
,,8948,20,Barlahida
,,3126,13,Bárna
,,8291,19,Barnag
,,2883,12,Bársonyos
,,7923,2,Basal
,,3881,4,Baskó
,,7149,17,Báta
,,7164,17,Bátaapáti
,,7140,17,Bátaszék
,,7258,15,Baté
,,6528,1,Bátmonostor
,,3078,13,Bátonyterenye
,,3070,13,Bátonyterenye
,,3336,10,Bátor
,,4343,16,Bátorliget
,,5830,3,Battonya
,,6351,1,Bátya
,,8797,20,Batyk
,,8887,20,Bázakerettye
,,8352,19,Bazsi
,,8565,19,Béb
,,8866,20,Becsehely
,,2693,13,Becske
,,3768,4,Becskeháza
,,8985,20,Becsvölgye
,,8666,15,Bedegkér
,,4128,9,Bedő
,,9683,18,Bejcgyertyános
,,8515,19,Békás
,,3903,4,Bekecs
,,5630,3,Békés
,,5600,3,Békéscsaba
,,5671,3,Békéscsaba
,,5623,3,Békéscsaba
,,5946,3,Békéssámson
,,5561,3,Békésszentandrás
,,3343,10,Bekölce
,,3346,10,Bélapátfalva
,,7589,15,Bélavár
,,7061,17,Belecska
,,9343,8,Beled
,,7543,15,Beleg
,,8855,20,Belezna
,,5643,3,Bélmegyer
,,2455,7,Beloiannisz
,,8978,20,Belsősárd
,,7747,2,Belvárdgyula
,,4643,16,Benk
,,2216,14,Bénye
,,3045,13,Bér
,,9831,18,Bérbaltavár
,,2687,13,Bercel
,,4934,16,Beregdaróc
,,4933,16,Beregsurány
,,4116,9,Berekböszörmény
,,5309,11,Berekfürdő
,,7827,2,Beremend
,,3704,4,Berente
,,3834,4,Beret
,,4100,9,Berettyóújfalu
,,8181,19,Berhida
,,8182,19,Berhida
,,2641,13,Berkenye
,,7664,2,Berkesd
,,4521,16,Berkesz
,,2639,14,Bernecebaráti
,,3575,4,Berzék
,,7516,15,Berzence
,,7838,2,Besence
,,4557,16,Besenyőd
,,3373,10,Besenyőtelek
,,5071,11,Besenyszög
,,2456,7,Besnyő
,,4488,16,Beszterec
,,7782,2,Bezedek
,,9223,8,Bezenye
,,8934,20,Bezeréd
,,9162,8,Bezi
,,2051,14,Biatorbágy
,,7671,2,Bicsérd
,,2060,7,Bicske
,,4175,9,Bihardancsháza
,,4110,9,Biharkeresztes
,,4172,9,Biharnagybajom
,,4174,9,Bihartorda
,,5538,3,Biharugra
,,7043,17,Bikács
,,7346,2,Bikal
,,4235,16,Biri
,,7747,2,Birján
,,7811,2,Bisse
,,9542,18,Boba
,,8943,20,Bocfölde
,,3368,10,Boconád
,,6235,1,Bócsa
,,8776,20,Bocska
,,4241,9,Bocskaikert
,,7672,2,Boda
,,8053,7,Bodajk
,,8080,7,Bodmér
,,7394,2,Bodolyabér
,,9134,8,Bodonhely
,,3243,10,Bodony
,,8471,19,Bodorfa
,,7439,15,Bodrog
,,3987,4,Bodroghalom
,,3916,4,Bodrogkeresztúr
,,3917,4,Bodrogkisfalud
,,3943,4,Bodrogolaszi
,,3768,4,Bódvalenke
,,3764,4,Bódvarákó
,,3763,4,BódVaszilas
,,3412,4,Bogács
,,7742,2,Bogád
,,7836,2,Bogádmindszent
,,7966,2,Bogdása
,,7132,17,Bogyiszló
,,9324,8,Bogyoszló
,,4114,9,Bojt
,,8741,20,Bókaháza
,,2855,12,Bokod
,,3066,13,Bokor
,,3016,10,Boldog
,,7937,2,Boldogasszonyfa
,,3884,4,Boldogkőújfalu
